SimName,AltName,Lbox [kpc],NDM,mDM [Msun],mgas [Msun],Nsnap,Nsubfind z=0
tng75,TNG100-1,110.7,1820^3,7.5e6,1.4e6,100,4371211
tng75-dark,TNG100-1-Dark,110.7,1820^3,8.9e6,0,100,5012155
tng75-2,TNG100-2,110.7,910^3,6.0e7,1.1e7,100,698336
tng75-3,TNG100-3,110.7,455^3,4.8e8,8.9e7,100,118820
tng75-3-dark,TNG100-3-Dark,110.7,455^3,5.7e8,0,100,116020
tng205,TNG300-1,302.6,2500^3,5.9e7,1.1e7,100,14485709
tng205-dark,TNG300-1-Dark,302.6,2500^3,7.0e7,0,100,15724587
tng205-2,TNG300-2,302.6,1250^3,4.7e8,8.8e7,100,2471022
tng205-3,TNG300-3,302.6,625^3,3.8e9,7.0e8,100,391144
tng35,TNG50-1,51.7,2160^3,4.5e5,8.5e4,100,5688113
tng35-dark,TNG50-1-Dark,51.7,2160^3,5.4e5,0,100,6616159
tng35-2,TNG50-2,51.7,1080^3,3.6e6,6.8e5,100,859077
tng35-3,TNG50-3,51.7,540^3,2.9e7,5.4e6,100,134779
tng35-3-dark,TNG50-3-Dark,51.7,540^3,3.4e7,0,100,150309
