! ./halo_21537_model_06_02.txt
! R    D    M    P
2000
5.667250e-03 7.443494e+02 3.206213e-16 -4.875200e+00
6.786394e-03 6.067296e+02 3.645972e-04 -4.870308e+00
7.905539e-03 5.074366e+02 7.840897e-04 -4.858604e+00
9.024683e-03 4.327274e+02 1.254917e-03 -4.842806e+00
1.014383e-02 3.746968e+02 1.773854e-03 -4.824435e+00
1.126297e-02 3.284779e+02 2.337974e-03 -4.804403e+00
1.238212e-02 2.909133e+02 2.944612e-03 -4.783290e+00
1.350126e-02 2.598671e+02 3.591337e-03 -4.761478e+00
1.462041e-02 2.338442e+02 4.275919e-03 -4.739228e+00
1.573955e-02 2.117682e+02 4.996310e-03 -4.716723e+00
1.685869e-02 1.928447e+02 5.750621e-03 -4.694095e+00
1.797784e-02 1.764758e+02 6.537105e-03 -4.671437e+00
1.909698e-02 1.622029e+02 7.354143e-03 -4.648820e+00
2.021613e-02 1.496688e+02 8.200230e-03 -4.626296e+00
2.133527e-02 1.385915e+02 9.073961e-03 -4.603903e+00
2.245442e-02 1.287455e+02 9.974027e-03 -4.581669e+00
2.357356e-02 1.199484e+02 1.089920e-02 -4.559616e+00
2.469271e-02 1.120514e+02 1.184834e-02 -4.537760e+00
2.581185e-02 1.049316e+02 1.282036e-02 -4.516112e+00
2.693099e-02 9.848722e+01 1.381424e-02 -4.494681e+00
2.805014e-02 9.263282e+01 1.482904e-02 -4.473471e+00
2.916928e-02 8.729646e+01 1.586384e-02 -4.452486e+00
3.028843e-02 8.241705e+01 1.691779e-02 -4.431730e+00
3.140757e-02 7.794249e+01 1.799010e-02 -4.411201e+00
3.252672e-02 7.382805e+01 1.907999e-02 -4.390901e+00
3.364586e-02 7.003514e+01 2.018673e-02 -4.370828e+00
3.476501e-02 6.653033e+01 2.130965e-02 -4.350980e+00
3.588415e-02 6.328449e+01 2.244809e-02 -4.331356e+00
3.700329e-02 6.027218e+01 2.360142e-02 -4.311953e+00
3.812244e-02 5.747106e+01 2.476906e-02 -4.292768e+00
3.924158e-02 5.486144e+01 2.595044e-02 -4.273799e+00
4.036073e-02 5.242593e+01 2.714502e-02 -4.255042e+00
4.147987e-02 5.014911e+01 2.835228e-02 -4.236495e+00
4.259902e-02 4.801723e+01 2.957174e-02 -4.218154e+00
4.371816e-02 4.601806e+01 3.080293e-02 -4.200015e+00
4.483731e-02 4.414063e+01 3.204540e-02 -4.182075e+00
4.595645e-02 4.237511e+01 3.329872e-02 -4.164332e+00
4.707559e-02 4.071265e+01 3.456247e-02 -4.146781e+00
4.819474e-02 3.914529e+01 3.583626e-02 -4.129419e+00
4.931388e-02 3.766581e+01 3.711972e-02 -4.112243e+00
5.043303e-02 3.626769e+01 3.841248e-02 -4.095250e+00
5.155217e-02 3.494501e+01 3.971418e-02 -4.078436e+00
5.267132e-02 3.369238e+01 4.102450e-02 -4.061798e+00
5.379046e-02 3.250489e+01 4.234312e-02 -4.045333e+00
5.490961e-02 3.137806e+01 4.366971e-02 -4.029039e+00
5.602875e-02 3.030779e+01 4.500399e-02 -4.012911e+00
5.714789e-02 2.929035e+01 4.634567e-02 -3.996947e+00
5.826704e-02 2.832227e+01 4.769447e-02 -3.981145e+00
5.938618e-02 2.740040e+01 4.905012e-02 -3.965500e+00
6.050533e-02 2.652182e+01 5.041237e-02 -3.950011e+00
6.162447e-02 2.568386e+01 5.178097e-02 -3.934675e+00
6.274362e-02 2.488404e+01 5.315568e-02 -3.919489e+00
6.386276e-02 2.412007e+01 5.453626e-02 -3.904450e+00
6.498191e-02 2.338983e+01 5.592251e-02 -3.889556e+00
6.610105e-02 2.269135e+01 5.731419e-02 -3.874805e+00
6.722019e-02 2.202283e+01 5.871111e-02 -3.860193e+00
6.833934e-02 2.138256e+01 6.011307e-02 -3.845720e+00
6.945848e-02 2.076898e+01 6.151986e-02 -3.831381e+00
7.057763e-02 2.018062e+01 6.293131e-02 -3.817176e+00
7.169677e-02 1.961612e+01 6.434722e-02 -3.803101e+00
7.281592e-02 1.907421e+01 6.576743e-02 -3.789155e+00
7.393506e-02 1.855370e+01 6.719176e-02 -3.775336e+00
7.505421e-02 1.805347e+01 6.862006e-02 -3.761641e+00
7.617335e-02 1.757249e+01 7.005215e-02 -3.748068e+00
7.729249e-02 1.710980e+01 7.148789e-02 -3.734616e+00
7.841164e-02 1.666446e+01 7.292713e-02 -3.721283e+00
7.953078e-02 1.623564e+01 7.436972e-02 -3.708066e+00
8.064993e-02 1.582252e+01 7.581551e-02 -3.694964e+00
8.176907e-02 1.542436e+01 7.726439e-02 -3.681975e+00
8.288822e-02 1.504044e+01 7.871621e-02 -3.669097e+00
8.400736e-02 1.467010e+01 8.017084e-02 -3.656329e+00
8.512651e-02 1.431270e+01 8.162816e-02 -3.643668e+00
8.624565e-02 1.396766e+01 8.308805e-02 -3.631114e+00
8.736479e-02 1.363441e+01 8.455040e-02 -3.618665e+00
8.848394e-02 1.331243e+01 8.601508e-02 -3.606318e+00
8.960308e-02 1.300122e+01 8.748199e-02 -3.594073e+00
9.072223e-02 1.270030e+01 8.895103e-02 -3.581928e+00
9.184137e-02 1.240924e+01 9.042208e-02 -3.569882e+00
9.296052e-02 1.212760e+01 9.189505e-02 -3.557932e+00
9.407966e-02 1.185500e+01 9.336983e-02 -3.546079e+00
9.519881e-02 1.159105e+01 9.484634e-02 -3.534319e+00
9.631795e-02 1.133539e+01 9.632447e-02 -3.522653e+00
9.743709e-02 1.108769e+01 9.780415e-02 -3.511078e+00
9.855624e-02 1.084762e+01 9.928528e-02 -3.499594e+00
9.967538e-02 1.061487e+01 1.007678e-01 -3.488198e+00
1.007945e-01 1.038915e+01 1.022515e-01 -3.476891e+00
1.019137e-01 1.017019e+01 1.037365e-01 -3.465670e+00
1.030328e-01 9.957722e+00 1.052226e-01 -3.454534e+00
1.041520e-01 9.751492e+00 1.067098e-01 -3.443483e+00
1.052711e-01 9.551264e+00 1.081979e-01 -3.432515e+00
1.063902e-01 9.356810e+00 1.096869e-01 -3.421629e+00
1.075094e-01 9.167913e+00 1.111768e-01 -3.410824e+00
1.086285e-01 8.984366e+00 1.126674e-01 -3.400099e+00
1.097477e-01 8.805972e+00 1.141587e-01 -3.389452e+00
1.108668e-01 8.632543e+00 1.156506e-01 -3.378883e+00
1.119860e-01 8.463899e+00 1.171431e-01 -3.368391e+00
