# A MW-like halo in tng35-3-dark
# mass range 1.00e+12-3.00e+12
# snaps redshifts times 21537
1 1.500e+01 2.68754618e-01 -1
2 1.200e+01 3.67361102e-01 1154
3 1.100e+01 4.14377950e-01 813
4 1.000e+01 4.72317877e-01 1214
5 9.369e+00 5.16166148e-01 700
6 9.000e+00 5.45048226e-01 755
7 8.452e+00 5.93269949e-01 1001
8 8.000e+00 6.38561981e-01 1216
9 7.615e+00 6.81902260e-01 1480
10 7.225e+00 7.31030798e-01 1388
11 7.000e+00 7.62076140e-01 1675
12 6.496e+00 8.40180281e-01 1900
13 6.000e+00 9.31150764e-01 2247
14 5.832e+00 9.65690196e-01 2597
15 5.522e+00 1.03528066e+00 3151
16 5.226e+00 1.10986784e+00 3062
17 5.000e+00 1.17307273e+00 3373
18 4.673e+00 1.27564741e+00 2956
19 4.415e+00 1.36764854e+00 3436
20 4.169e+00 1.46627822e+00 3954
21 4.000e+00 1.54080902e+00 4304
22 3.708e+00 1.68536484e+00 5135
23 3.493e+00 1.80698494e+00 5068
24 3.288e+00 1.93744955e+00 5640
25 3.000e+00 2.14826698e+00 5853
26 2.905e+00 2.22640907e+00 6064
27 2.736e+00 2.37713647e+00 6943
28 2.584e+00 2.52800396e+00 7696
29 2.446e+00 2.67904463e+00 8426
30 2.320e+00 2.83023608e+00 8756
31 2.204e+00 2.98160227e+00 9078
32 2.098e+00 3.13310397e+00 9671
33 2.000e+00 3.28362906e+00 10190
34 1.908e+00 3.43658586e+00 10953
35 1.823e+00 3.58856539e+00 10447
36 1.743e+00 3.74073571e+00 11251
37 1.669e+00 3.89310572e+00 11859
38 1.599e+00 4.04568349e+00 12060
39 1.533e+00 4.19844461e+00 12408
40 1.500e+00 4.27739091e+00 12611
41 1.411e+00 4.50464688e+00 12781
42 1.355e+00 4.65809115e+00 12986
43 1.302e+00 4.81172181e+00 13336
44 1.252e+00 4.96559460e+00 13436
45 1.204e+00 5.11966690e+00 13571
46 1.158e+00 5.27396467e+00 13910
47 1.114e+00 5.42844505e+00 14298
48 1.071e+00 5.58319539e+00 14529
49 1.031e+00 5.73814092e+00 14722
50 1.000e+00 5.86224472e+00 15001
51 9.551e-01 6.04876880e+00 15457
52 9.193e-01 6.20448347e+00 15411
53 8.848e-01 6.36048368e+00 15759
54 8.516e-01 6.51676533e+00 16105
55 8.195e-01 6.67328737e+00 16486
56 7.885e-01 6.83008767e+00 16792
57 7.585e-01 6.98713852e+00 17150
58 7.295e-01 7.14444034e+00 17354
59 7.000e-01 7.31007227e+00 17591
60 6.742e-01 7.45971184e+00 17611
61 6.478e-01 7.61769870e+00 17701
62 6.222e-01 7.77591047e+00 18003
63 5.973e-01 7.93435016e+00 18254
64 5.732e-01 8.09304084e+00 18381
65 5.497e-01 8.25202657e+00 18549
66 5.268e-01 8.41123210e+00 18597
67 5.000e-01 8.60366084e+00 18496
68 4.828e-01 8.73040868e+00 18730
69 4.617e-01 8.89036187e+00 18941
70 4.411e-01 9.05071913e+00 19071
71 4.210e-01 9.21121324e+00 18997
72 4.000e-01 9.38335519e+00 19385
73 3.822e-01 9.53307925e+00 19425
74 3.635e-01 9.69444479e+00 19434
75 3.452e-01 9.85599505e+00 19479
76 3.273e-01 1.00177484e+01 19483
77 3.098e-01 1.01797357e+01 19676
78 3.000e-01 1.02719222e+01 19730
79 2.759e-01 1.05044044e+01 19803
80 2.595e-01 1.06671042e+01 19963
81 2.434e-01 1.08299729e+01 19892
82 2.276e-01 1.09930889e+01 19929
83 2.122e-01 1.11563308e+01 20025
84 2.000e-01 1.12876745e+01 20126
85 1.822e-01 1.14835813e+01 20317
86 1.676e-01 1.16474803e+01 20397
87 1.533e-01 1.18117231e+01 20564
88 1.393e-01 1.19760949e+01 20663
89 1.255e-01 1.21406098e+01 20731
90 1.119e-01 1.23054069e+01 20851
91 1.000e-01 1.24535007e+01 20871
92 8.557e-02 1.26357133e+01 21139
93 7.273e-02 1.28010313e+01 21109
94 6.010e-02 1.29666366e+01 21221
95 4.768e-02 1.31324447e+01 21126
96 3.547e-02 1.32983689e+01 21275
97 2.345e-02 1.34645998e+01 21397
98 1.163e-02 1.36309193e+01 21491
99 0.000e+00 1.37973866e+01 21537
