! /home/ngc/Work/research/Illustris-BFE/notebooks/halo_21537_model.txt
! R    D    M    P
2000
5.667250e-03 7.418561e+02 3.205829e-16 -4.873870e+00
6.786394e-03 6.048898e+02 3.634383e-04 -4.868995e+00
7.905539e-03 5.060316e+02 7.817175e-04 -4.857327e+00
9.024683e-03 4.316263e+02 1.251297e-03 -4.841577e+00
1.014383e-02 3.738162e+02 1.768966e-03 -4.823257e+00
1.126297e-02 3.277621e+02 2.331810e-03 -4.803280e+00
1.238212e-02 2.903236e+02 2.937175e-03 -4.782221e+00
1.350126e-02 2.593758e+02 3.582634e-03 -4.760463e+00
1.462041e-02 2.334311e+02 4.265965e-03 -4.738266e+00
1.573955e-02 2.114179e+02 4.985125e-03 -4.715813e+00
1.685869e-02 1.925456e+02 5.738228e-03 -4.693234e+00
1.797784e-02 1.762189e+02 6.523531e-03 -4.670624e+00
1.909698e-02 1.619810e+02 7.339416e-03 -4.648054e+00
2.021613e-02 1.494763e+02 8.184380e-03 -4.625574e+00
2.133527e-02 1.384238e+02 9.057021e-03 -4.603223e+00
2.245442e-02 1.285988e+02 9.956030e-03 -4.581030e+00
2.357356e-02 1.198198e+02 1.088018e-02 -4.559017e+00
2.469271e-02 1.119382e+02 1.182833e-02 -4.537198e+00
2.581185e-02 1.048318e+02 1.279940e-02 -4.515586e+00
2.693099e-02 9.839902e+01 1.379236e-02 -4.494189e+00
2.805014e-02 9.255474e+01 1.480628e-02 -4.473012e+00
2.916928e-02 8.722722e+01 1.584023e-02 -4.452059e+00
3.028843e-02 8.235558e+01 1.689338e-02 -4.431333e+00
3.140757e-02 7.788785e+01 1.796490e-02 -4.410834e+00
3.252672e-02 7.377945e+01 1.905405e-02 -4.390561e+00
3.364586e-02 6.999189e+01 2.016009e-02 -4.370515e+00
3.476501e-02 6.649182e+01 2.128234e-02 -4.350693e+00
3.588415e-02 6.325021e+01 2.242014e-02 -4.331094e+00
3.700329e-02 6.024166e+01 2.357287e-02 -4.311715e+00
3.812244e-02 5.744391e+01 2.473994e-02 -4.292553e+00
3.924158e-02 5.483730e+01 2.592077e-02 -4.273606e+00
4.036073e-02 5.240450e+01 2.711485e-02 -4.254870e+00
4.147987e-02 5.013009e+01 2.832164e-02 -4.236343e+00
4.259902e-02 4.800040e+01 2.954065e-02 -4.218021e+00
4.371816e-02 4.600320e+01 3.077143e-02 -4.199901e+00
4.483731e-02 4.412754e+01 3.201351e-02 -4.181980e+00
4.595645e-02 4.236362e+01 3.326647e-02 -4.164254e+00
4.707559e-02 4.070262e+01 3.452990e-02 -4.146720e+00
4.819474e-02 3.913656e+01 3.580339e-02 -4.129374e+00
4.931388e-02 3.765827e+01 3.708658e-02 -4.112214e+00
5.043303e-02 3.626123e+01 3.837909e-02 -4.095235e+00
5.155217e-02 3.493952e+01 3.968058e-02 -4.078436e+00
5.267132e-02 3.368777e+01 4.099071e-02 -4.061812e+00
5.379046e-02 3.250108e+01 4.230915e-02 -4.045361e+00
5.490961e-02 3.137498e+01 4.363561e-02 -4.029079e+00
5.602875e-02 3.030538e+01 4.496977e-02 -4.012964e+00
5.714789e-02 2.928853e+01 4.631135e-02 -3.997012e+00
5.826704e-02 2.832100e+01 4.766008e-02 -3.981221e+00
5.938618e-02 2.739963e+01 4.901568e-02 -3.965587e+00
6.050533e-02 2.652150e+01 5.037790e-02 -3.950109e+00
6.162447e-02 2.568395e+01 5.174649e-02 -3.934783e+00
6.274362e-02 2.488450e+01 5.312122e-02 -3.919607e+00
6.386276e-02 2.412087e+01 5.450184e-02 -3.904578e+00
6.498191e-02 2.339093e+01 5.588814e-02 -3.889694e+00
6.610105e-02 2.269274e+01 5.727990e-02 -3.874951e+00
6.722019e-02 2.202446e+01 5.867691e-02 -3.860348e+00
6.833934e-02 2.138443e+01 6.007898e-02 -3.845883e+00
6.945848e-02 2.077105e+01 6.148591e-02 -3.831552e+00
7.057763e-02 2.018288e+01 6.289750e-02 -3.817355e+00
7.169677e-02 1.961854e+01 6.431358e-02 -3.803288e+00
7.281592e-02 1.907678e+01 6.573397e-02 -3.789349e+00
7.393506e-02 1.855640e+01 6.715851e-02 -3.775536e+00
7.505421e-02 1.805630e+01 6.858702e-02 -3.761848e+00
7.617335e-02 1.757543e+01 7.001934e-02 -3.748282e+00
7.729249e-02 1.711282e+01 7.145533e-02 -3.734836e+00
7.841164e-02 1.666758e+01 7.289483e-02 -3.721508e+00
7.953078e-02 1.623883e+01 7.433769e-02 -3.708297e+00
8.064993e-02 1.582578e+01 7.578378e-02 -3.695201e+00
8.176907e-02 1.542767e+01 7.723296e-02 -3.682217e+00
8.288822e-02 1.504380e+01 7.868510e-02 -3.669345e+00
8.400736e-02 1.467350e+01 8.014006e-02 -3.656581e+00
8.512651e-02 1.431613e+01 8.159772e-02 -3.643926e+00
8.624565e-02 1.397112e+01 8.305797e-02 -3.631376e+00
8.736479e-02 1.363789e+01 8.452069e-02 -3.618931e+00
8.848394e-02 1.331593e+01 8.598575e-02 -3.606589e+00
8.960308e-02 1.300473e+01 8.745305e-02 -3.594348e+00
9.072223e-02 1.270382e+01 8.892249e-02 -3.582207e+00
9.184137e-02 1.241277e+01 9.039395e-02 -3.570164e+00
9.296052e-02 1.213113e+01 9.186734e-02 -3.558219e+00
9.407966e-02 1.185853e+01 9.334256e-02 -3.546368e+00
9.519881e-02 1.159457e+01 9.481951e-02 -3.534612e+00
9.631795e-02 1.133891e+01 9.629810e-02 -3.522949e+00
9.743709e-02 1.109120e+01 9.777824e-02 -3.511378e+00
9.855624e-02 1.085111e+01 9.925984e-02 -3.499896e+00
9.967538e-02 1.061835e+01 1.007428e-01 -3.488504e+00
1.007945e-01 1.039261e+01 1.022271e-01 -3.477199e+00
1.019137e-01 1.017363e+01 1.037126e-01 -3.465981e+00
1.030328e-01 9.961141e+00 1.051992e-01 -3.454848e+00
1.041520e-01 9.754889e+00 1.066868e-01 -3.443799e+00
1.052711e-01 9.554637e+00 1.081755e-01 -3.432833e+00
